No,Year,Dead,Seriously Injured,Injured,Date,Time,Weather,Longitude,Latitude,National Road,Highway,Road Type,Road Shape,Road Width,Signal,Kinds of Traffic Accident,Detail_1,Detail_2,A_Type,A_Age,B_Type,B_Age,Elderly Person,Walker,Bicycle,Temperature,Amount of Precipitation[mm],Amount of Snow[cm],Snowfall[cm],Wind Velocity[mps],Wind Direction[mps],Sunshine Duration
1,2013,1,0,0,2013/3/28,18:18,Cloudy,139.0116111,37.90509167,0,0,Intersection,Straight,3m-5.5m,0,H2V,During cross,A pedestrian crossing,Light truck,63,Pedestrian,85,1,1,0,13.7,0,0,0,2.8,WSW,0
2,2013,1,0,0,2013/12/3,15:26,Sunny,139.0215139,37.88673611,0,0,Intersection,Straight,5.5m-13m,0,H2V,During cross,etc,A large passenger car,70,Pedestrian,70,1,1,0,10.3,0,0,0,3.1,S,1
3,2013,1,0,0,2013/12/31,3:15,Rain,139.1061389,37.93355278,0,0,Intersection,Straight,19.5m-,1,H2V,During cross,A pedestrian crossing,Pedestrian,74,A passenger car,35,1,1,0,4.4,0.5,0,0,1.5,SE,0
5,2013,1,0,0,2013/8/12,12:48,Sunny,139.0013444,37.85541667,0,0,Intersection,Straight,5.5m-13m,0,V2V,Encounter,-1,A passenger car,55,Medium truck,47,0,0,0,31.4,0,0,0,2.9,W,1
8,2013,1,0,0,2013/6/23,16:39,Cloudy,139.4872556,38.23559722,0,0,Intersection,Straight,0,0,V2V,Encounter,-1,Scooter 50cc or less,87,A passenger car,28,1,0,0,24.5,0,0,0,2.4,WNW,1
13,2013,1,0,1,2013/1/9,9:10,Snow,139.3597861,37.91264722,0,0,Intersection,Curve,0,0,V2V,Turning right,Turn right,A passenger car,77,A passenger car,53,1,0,0,-0.9,2.5,4,73,0.5,SSW,0
19,2013,1,0,0,2013/12/16,17:52,Rain,139.3102222,37.95693611,0,0,Intersection,Straight,0,0,H2V,During cross,Near the pedestrian crossing,A passenger car,62,Pedestrian,53,0,1,0,4.7,0,0,0,3.7,WNW,-1
21,2013,1,0,0,2013/4/3,18:28,Cloudy,139.230075,37.912975,0,0,Intersection,Curve,3m-5.5m,0,H2V,During cross,A pedestrian crossing,A passenger car,48,Pedestrian,67,1,1,0,10.7,0,0,0,2.7,NW,0
23,2013,1,0,2,2013/9/14,12:13,Sunny,139.177375,37.9232,0,0,Intersection,Straight,5.5m-13m,0,V2V,Encounter,-1,A passenger car,39,Motorcycle over 751cc,33,0,0,0,32.2,0,0,0,1.6,NE,1
30,2013,1,0,0,2013/12/19,12:30,Cloudy,139.0980583,37.89679722,0,0,Intersection,Straight,5.5m-13m,0,V2V,Encounter,-1,Vehicle,56,Light passenger car,41,0,0,1,9.4,0,0,0,9.3,SE,0
35,2013,1,0,0,2013/9/28,14:48,Sunny,138.9046528,37.67200833,0,0,Intersection,Straight,0,0,V2V,Encounter,-1,Light truck,87,Motorcycle over 751cc,52,1,0,0,25.2,0,0,0,6.1,ESE,1
36,2013,1,0,0,2013/9/27,18:15,Cloudy,139.0452306,37.66044722,1,0,Intersection,Straight,0,1,H2V,During cross,Near the pedestrian crossing,Pedestrian,81,Light passenger car,62,1,1,0,17.3,0,0,0,2.8,NNE,0.4
40,2013,1,1,4,2013/5/17,17:00,Sunny,138.99545,37.62858611,0,0,Intersection,Straight,0,0,V2V,Encounter,-1,Light passenger car,19,Light passenger car,19,0,0,0,16.3,0,0,0,2.7,N,1
45,2013,1,0,0,2013/3/14,19:03,Cloudy,138.9245917,37.52218333,0,0,Intersection,Straight,0,0,H2V,During cross,A pedestrian crossing,Light truck,53,Pedestrian,65,1,1,0,2.1,0,0,22,1,SW,-1
50,2013,1,0,0,2013/5/30,19:06,Cloudy,138.8944333,37.50011111,0,0,Intersection,Straight,0,0,V2V,Encounter,-1,Vehicle,71,A passenger car,21,1,0,1,18,0,0,0,1.7,S,0
51,2013,1,0,0,2013/8/18,18:58,Sunny,138.854675,37.46706944,0,0,Intersection,Straight,0,0,H2V,During cross,etc,A passenger car,28,Pedestrian,56,0,1,0,31,0,0,0,1.2,SSW,0
52,2013,1,0,0,2013/9/16,14:00,Rain,138.8082639,37.45047778,0,0,Intersection,Straight,0,1,H2V,During cross,Near the pedestrian crossing,Truck,68,Pedestrian,63,1,1,0,22.2,4.5,0,0,1.1,WNW,0
53,2013,1,0,0,2013/11/23,17:10,Cloudy,138.8052222,37.41753611,1,0,Intersection,Straight,0,0,H2V,During cross,etc,A passenger car,40,„Åù„ÅE‰ªñ„ÅEÊ∫ñPedestrian,81,1,1,0,11.6,0,0,0,1.5,SSW,-1
54,2013,1,0,0,2013/11/29,16:49,Rain,138.9998944,37.47536944,0,0,Intersection,Straight,0,0,H2V,During cross,A pedestrian crossing,Light passenger car,66,Pedestrian,88,1,1,0,5.7,0,0,0,2.6,W,0
57,2013,1,0,0,2013/7/28,10:36,Sunny,138.7621,37.63356389,1,0,Intersection,Straight,0,1,V2V,Turning right,Turn right,A passenger car,34,Scooter 51-125cc,63,0,0,0,27.8,0,0,0,2.7,WNW,0.2
64,2013,1,0,0,2013/1/30,18:20,Cloudy,138.8106111,36.93696667,0,0,Intersection,Straight,0,1,H2V,During cross,Near the pedestrian crossing,-1,-1,Pedestrian,68,1,1,0,-0.5,0.5,0,176,2.3,NW,0
