No,Year,Dead,Seriously Injured,Injured,Date,Time,Weather,Longitude,Latitude,National Road,Highway,Road Type,Road Shape,Road Width,Signal,Kinds of Traffic Accident,Detail_1,Detail_2,A_Type,A_Age,B_Type,B_Age,Elderly Person,Walker,Bicycle,Temperature,Amount of Precipitation[mm],Amount of Snow[cm],Snowfall[cm],Wind Velocity[mps],Wind Direction[mps],Sunshine Duration
4,2013,1,0,1,2013/7/15,11:28,Cloudy,138.9580833,37.85803611,0,0,Near_Intersection,Straight,3m-5.5m,0,V2V,etc,-1,A passenger car,71,Truck,61,1,1,0,23.7,0,0,0,4.6,NW,0.1
62,2013,1,0,1,2013/12/6,14:25,Cloudy,138.8970694,37.25680556,1,0,Normal,Straight,0,0,V2V,Frontal collision,-1,A passenger car,76,Medium truck,29,1,0,0,8.4,0,0,0,1.5,SW,0.1
95,2013,1,0,0,2013/9/21,6:53,Sunny,138.1865889,37.16671944,1,0,Normal,Straight,0,0,V2V,Turning right,Turn right,A heavy-duty truck,41,Motorcycle over 751cc,39,0,0,0,21.6,0,0,0,5,S,0.1
137,2014,1,0,0,2014/10/26,9:10,Sunny,139.4776167,37.65820278,1,0,Normal,Straight,0,0,V2V,Turning right,Turn right,Light passenger car,69,Motorcycle over 751cc,52,1,0,0,9.4,0,0,0,0.9,S,0.1
171,2014,1,0,0,2014/2/11,14:25,Cloudy,138.9490194,37.19334722,0,0,Near_Intersection,Straight,0,0,V2V,Rear-end collision,Ongoing,Light truck,64,Bicycle with driving aid,83,1,0,1,1.1,0,0,127,1,E,0.1
255,2015,1,0,0,2015/7/15,9:15,Sunny,138.9698639,37.63083611,0,0,Intersection,Straight,0,0,V2V,Encounter,-1,Vehicle,80,A passenger car,48,1,0,1,26.7,0,0,0,1.2,S,0.1
269,2015,1,1,1,2015/12/12,16:51,Sunny,138.7847278,37.42197778,1,0,Normal,Straight,0,0,V2V,Turning right,Turn right,Light passenger car,55,A passenger car,45,1,0,0,10.6,0,0,0,1.4,NNE,0.1
310,2016,1,1,2,2016/9/24,13:35,Cloudy,139.4263972,38.152825,1,0,Normal,Curve,0,0,V2V,Frontal collision,-1,A passenger car,57,Medium truck,57,0,0,0,24,0,0,0,2.9,SE,0.1
335,2016,1,1,2,2016/7/18,15:30,Sunny,138.78105,37.59369722,1,0,Intersection,Straight,0,0,V2V,Encounter,-1,Light passenger car,79,Motorcycle over 751cc,37,1,0,0,25.5,0,0,0,3.3,NNW,0.1
57,2013,1,0,0,2013/7/28,10:36,Sunny,138.7621,37.63356389,1,0,Intersection,Straight,0,1,V2V,Turning right,Turn right,A passenger car,34,Scooter 51-125cc,63,0,0,0,27.8,0,0,0,2.7,WNW,0.2
126,2014,1,0,0,2014/6/6,16:09,Rain,139.3999472,38.06290278,0,0,Near_Intersection,Straight,0,1,V2V,etc,-1,A heavy-duty truck,45,Vehicle,8,0,0,1,23.1,0,0,0,5.8,ESE,0.2
240,2015,1,0,0,2015/7/7,15:23,Cloudy,139.0229028,37.77240556,0,0,Normal,Straight,-3m,0,V2V,Encounter,-1,Scooter 50cc or less,83,A passenger car,71,1,0,0,26,0,0,0,2.9,NW,0.2
125,2014,1,0,0,2014/10/31,6:50,Sunny,139.4246556,38.12259722,0,0,Intersection,Straight,0,0,V2V,Encounter,-1,Light truck,68,A passenger car,43,1,0,0,6.2,0,0,0,1.1,NW,0.3
191,2014,1,2,0,2014/11/6,15:19,Cloudy,138.2193278,36.94667778,1,0,Normal,Straight,0,0,V2V,Frontal collision,-1,Light passenger car,76,A passenger car,65,1,0,0,15.4,0,0,0,2.1,NE,0.3
129,2014,1,0,0,2014/7/8,8:35,Cloudy,139.349725,38.00505,0,0,Normal,Straight,0,0,V2V,Frontal collision,-1,A passenger car,22,Light truck,81,1,0,0,22.5,0,0,0,0.7,NNE,0.4
303,2016,1,0,0,2016/7/27,9:45,Cloudy,139.0158361,37.91676944,0,0,Intersection,Straight,5.5m-13m,0,V2V,Turning right,etc,A passenger car,80,Vehicle,82,1,0,1,25.8,0,0,0,4.4,SSE,0.4
