No,Year,Dead,Seriously Injured,Injured,Date,Time,Weather,Longitude,Latitude,National Road,Highway,Road Type,Road Shape,Road Width,Signal,Kinds of Traffic Accident,Detail_1,Detail_2,A_Type,A_Age,B_Type,B_Age,Elderly Person,Walker,Bicycle,Temperature,Amount of Precipitation[mm],Amount of Snow[cm],Snowfall[cm],Wind Velocity[mps],Wind Direction[mps],Sunshine Duration
1,2013,1,0,0,2013/5/28,5:56,Sunny,138.2670472,37.19533611,0,0,Other,Othre,0,0,V,Outside the road,Falling,Light passenger car,66,None,-1,1,0,0,18.7,0,0,0,0.3,W,0.1
2,2014,1,0,0,2014/5/25,10:40,Sunny,139.028,37.33353333,1,0,Normal,Curve,0,0,V,Manufactured articles,Protection fence etc.,Motorcycle over 751cc,75,Property etc.,-1,1,0,0,22.6,0,0,0,1.5,NNE,0.1
3,2016,1,0,0,2016/7/17,11:05,Cloudy,138.303625,37.03295556,0,0,Near_Intersection,Curve,0,0,V,Manufactured articles,etc,Light truck,83,Property etc.,-1,1,0,0,25.6,1,0,0,0.9,NNE,0.1
4,2016,1,0,0,2016/9/6,16:15,Sunny,138.15005,37.14925833,0,1,Normal,Straight,0,0,V,Manufactured articles,Protection fence etc.,A passenger car,35,Property etc.,-1,0,0,0,27,0,0,0,1.8,NNW,0.1
5,2013,1,0,0,2013/5/19,13:30,Cloudy,139.5422556,38.42909167,0,0,Normal,Curve,0,0,V,Toppling over,-1,Motorcycle 401-750cc,68,None,-1,1,0,0,24.3,0,0,0,3.2,ESE,0.2
6,2014,1,0,0,2014/2/5,13:20,Snow,138.6515722,37.25476667,1,0,Normal,Straight,0,0,V,Outside the road,Falling,A passenger car,55,None,-1,0,0,0,-3,0,0,129,3.5,NW,0.2
7,2015,1,0,0,2015/7/9,13:05,Cloudy,139.112925,37.76848333,0,0,Other,Othre,-3m,0,V,Manufactured articles,House and fence,A passenger car,63,Property etc.,-1,0,0,0,25.7,0,0,0,2,NNW,0.2
8,2016,1,0,0,2016/8/18,11:43,Sunny,138.7924361,37.39386667,0,1,Normal,Straight,0,0,V,Manufactured articles,Separation zone and safety island,Light Scooter 126-251cc,18,Property etc.,-1,0,0,0,29.8,0,0,0,2.3,NNW,0.2
9,2013,1,0,0,2013/8/21,15:10,Sunny,138.4593333,37.27181389,0,0,Normal,Curve,0,0,V,Outside the road,Falling,Light passenger car,73,None,-1,1,0,0,28.8,0,0,0,1.9,NW,0.3
10,2015,1,0,0,2015/9/21,6:00,Sunny,138.8898667,37.71553889,1,0,Normal,Straight,0,0,V,Outside the road,Falling,A passenger car,50,None,-1,0,0,0,13.2,0,0,0,1.9,ESE,0.3
11,2015,1,1,0,2015/6/4,11:50,Sunny,138.6938917,37.36377778,0,0,Normal,Straight,0,0,V,Manufactured articles,etc,Light passenger car,89,Property etc.,-1,1,0,0,18.8,0,0,0,4.1,WNW,0.3
12,2014,1,0,1,2014/12/10,15:15,Cloudy,138.9297889,37.25010556,0,0,Normal,Straight,0,0,V,Manufactured articles,Protection fence etc.,A passenger car,77,Property etc.,-1,1,0,0,4.9,0,0,24,0.2,0,0.4
13,2015,1,1,3,2015/7/5,12:20,Sunny,139.1024583,37.82060833,0,1,Normal,Straight,5.5m-13m,0,V,Manufactured articles,Protection fence etc.,A passenger car,63,Property etc.,-1,1,0,0,24.8,0,0,0,2.3,N,0.4
14,2016,1,1,0,2016/8/9,12:15,Cloudy,138.8391472,37.26487222,0,0,Normal,Curve,0,0,V,Manufactured articles,Protection fence etc.,A passenger car,22,Property etc.,-1,0,0,0,27.2,0,0,0,1.6,W,0.4
15,2013,1,1,0,2013/12/29,10:35,Snow,139.0707972,37.65833333,0,0,Normal,Curve,0,0,V,Manufactured articles,House and fence,A passenger car,75,Property etc.,-1,1,0,0,0.5,0.5,0,2,3.5,S,0.5
16,2014,1,0,0,2014/4/19,15:58,Sunny,139.0220139,37.91326667,1,0,Normal,Straight,19.5m-,0,V,Parking,Driver absent,Scooter 50cc or less,89,Property etc.,-1,1,0,0,10.2,0,0,0,4.7,NNW,0.5
17,2014,1,0,0,2014/4/7,8:35,Sunny,138.7517972,37.59934722,0,0,Intersection,Straight,0,0,V,Outside the road,Falling,Scooter 50cc or less,78,None,-1,1,0,0,9.1,0,0,0,5.8,WSW,0.5
18,2016,1,0,0,2016/8/4,8:29,Sunny,138.6082444,36.99457222,0,0,Normal,Curve,0,0,V,Outside the road,Falling,Light truck,79,None,-1,1,0,0,23.4,0,0,0,0.4,WNW,0.5
19,2015,1,1,0,2015/2/22,11:36,Sunny,139.384,37.92145833,0,0,Normal,Straight,0,0,V,Manufactured articles,Telegraph pole,Light truck,75,Property etc.,-1,1,0,0,10.1,0,0,77,5.2,SE,0.6
20,2015,1,0,0,2015/3/25,14:10,Cloudy,139.3138083,37.98302778,0,0,Intersection,Straight,0,0,V,Manufactured articles,Protection fence etc.,Light truck,73,Property etc.,-1,1,0,0,6.5,0,0,0,5.5,NW,0.6
